1	120111	2999	0.01	0
2	120112	2999	0.01	0
3	120121	1999	0.01	0
4	120122	1999	0.01	0
5	120411	5590	0.01	0
6	120412	5590	0.01	0
7	120521	4531	0.01	0
8	120522	4531	0.01	0
9	120611	9992	0.01	0
10	120612	9992	0.01	0
11	120621	7807	0.005	0
12	120622	7807	0.005	0
13	120711	4096	0.01	0
14	120712	4096	0.01	0
15	120721	4096	0.01	0
16	120722	4096	0.01	0
17	120811	5437	0.005	0
18	120812	5437	0.005	0
19	120821	6000	0.005	0
20	120822	6000	0.005	0
21	120911	2200	0.02	0
22	120912	2200	0.02	0
23	120921	11186	0.0025	0
24	120922	11186	0.0025	0
25	121011	7991	0.005	0
26	121012	7991	0.005	0
27	121021	7989	0.005	0
28	121022	7989	0.005	0
29	121111	2676	0.02	0
30	121112	2300	0.02	0
31	121211	8000	0.005	0
32	121212	8000	0.005	0
33	121221	2230	0.01	0
34	121222	2230	0.01	0
35	121321	1800	0.02	0
36	121322	1800	0.02	0
37	121411	18000	0.005	0
38	121412	18000	0.005	0
39	121421	18000	0.005	0
40	121422	18000	0.005	0
41	121511	2800	0.01	0
42	121512	2800	0.01	0
43	121711	7269	0.005	0
44	121712	7269	0.005	0
